season,bowler,matches,balls_bowled,runs_conceded,wickets,dot_balls,maidens,three_wicket_hauls,four_wicket_hauls,five_wicket_hauls,economy,bowling_average,bowling_strike_rate,dot_ball_percentage,overs,best_bowling_figures
2023,BA Stokes,1,6,18,0,0,0,0,0,0,18.0,,,0.0,1.0,0/18
2023,C Green,16,228,360,6,88,0,0,0,0,9.47,60.0,38.0,38.6,38.0,2/41
2023,C Sakariya,2,48,89,3,17,0,0,0,0,11.12,29.67,16.0,35.42,8.0,2/53
2023,CJ Jordan,6,132,237,3,44,1,0,0,0,10.77,79.0,44.0,33.33,22.0,1/7
2023,CV Varun,14,316,429,20,124,1,3,1,0,8.15,21.45,15.8,39.24,52.4,4/15
2023,D Jansen,1,24,52,1,6,0,0,0,0,13.0,52.0,24.0,25.0,4.0,1/52
2023,D Pretorius,1,24,28,0,9,0,0,0,0,7.0,,,37.5,4.0,0/28
2023,D Wiese,1,18,38,0,3,0,0,0,0,12.67,,,16.67,3.0,0/38
2023,DG Nalkande,1,24,44,1,9,0,0,0,0,11.0,44.0,24.0,37.5,4.0,1/44
2023,DJ Hooda,1,6,8,0,1,0,0,0,0,8.0,,,16.67,1.0,0/8
